id,end_date,instrument,outside_time,outside_plan,heard_of_SLE,heard_of_SLE_SM,heard_of_SLE_museum_ad,heard_of_SLE_website,heard_of_SLE_story,heard_of_SLE_tv,heard_of_SLE_BB,heard_of_SLE_online_ad,heard_of_SLE_other,weather_factor,aware_of_evening,attend_evening,SLE_primary_reason,group_interest,museum_app,museum_app_download_app,museum_app_not_download_app,museum_app_other,current_member,ticket_purchase_time,two_day_ticket,member_for_SLE,recommend,return,age_group1,age_group2,age_group3,age_group4,adults_age,adults_num,children_num,children_age_group1,children_age_group2,children_age_group3,children_age_group4,children_age_group5,no_children,0,preschool,live_IN_county,live_outside_IN
199,2018-05-26 13:52:49,May.June,Less than 30 minutes,Yes,No,No,Advertising at the museum,No,No,No,No,No,No,Yes,N/A,N/A,"Yes, the main reason",Basketball,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,5,,3-5 years old,6-8 years old,,,,3,1,A county adjacent to Marion County,0
200,2018-05-26 13:51:11,May.June,Less than 30 minutes,Yes,Family/Friends,No,No,No,No,No,No,No,No,Partially,N/A,N/A,"Yes, the main reason",,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,0-2 years old,,6-8 years old,,,,3,1,"Indiana, but not in the Indy metro area",0
201,2018-05-26 13:49:17,May.June,More than 90 minutes,No,No,No,No,Our website,No,No,No,No,No,No,N/A,N/A,,The tree house,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,0-2 years old,3-5 years old,,,,,1,1,A county adjacent to Marion County,0
202,2018-05-26 13:46:37,May.June,30 to 60 minutes,No,No,No,Advertising at the museum,No,"A story in the media (TV, Digital Article, Radio)",No,No,No,No,Yes,N/A,N/A,No,The tree,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,,3-5 years old,,,,,1,1,"Indiana, but not in the Indy metro area",0
203,2018-05-26 13:42:07,May.June,Less than 30 minutes,No,No,No,No,No,No,No,No,Online advertisement,No,Yes,N/A,N/A,No,,N/A,N/A,N/A,N/A,No,Today (from the onsite ticket line),N/A,I am not sure if I will become a museum member.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,0-2 years old,,,,,,1,1,"Marion County, Indiana",0
204,2018-05-26 12:19:52,May.June,More than 90 minutes,Not sure,No,No,No,No,"A story in the media (TV, Digital Article, Radio)",No,No,No,No,No,N/A,N/A,"Yes, the main reason",Treehouse,N/A,N/A,N/A,N/A,No,Yesterday,N/A,"No, I am still not interested in becoming a member.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,,,,9-12 years old,,,2,0,0,0
205,2018-05-26 12:16:38,May.June,30 to 60 minutes,Yes,Family/Friends,No,No,No,No,No,No,No,No,No,N/A,N/A,"Yes, the main reason",,N/A,N/A,N/A,N/A,No,Today (from the onsite ticket line),N/A,I will/have become a museum member as a result of the Sports Legends Experience.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,3,0-2 years old,,,,,,1,1,Another state or country (please specify),Illinois
206,2018-05-26 12:14:55,May.June,More than 90 minutes,No,Family/Friends,No,No,No,No,TV commercial,No,No,No,Partially,N/A,N/A,"Yes, the main reason",Basketball,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,3,,3-5 years old,,9-12 years old,,,3,1,A county adjacent to Marion County,0
207,2018-05-26 12:12:11,May.June,Less than 30 minutes,Yes,No,No,No,No,"A story in the media (TV, Digital Article, Radio)",No,No,No,No,No,N/A,N/A,No,,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,,3-5 years old,,,,,1,1,A county adjacent to Marion County,0
208,2018-05-26 12:10:58,May.June,30 to 60 minutes,Yes,No,"Social media (Twitter, Facebook, Instagram)",Advertising at the museum,No,"A story in the media (TV, Digital Article, Radio)",No,No,No,No,No,N/A,N/A,"Yes, the main reason",See the golf portion,N/A,N/A,N/A,N/A,No,Today (from the onsite ticket line),N/A,I am considering purchasing a museum membership.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0-2 years old,,,,,,1,1,A county adjacent to Marion County,0
209,2018-05-26 12:06:50,May.June,More than 90 minutes,No,No,No,Advertising at the museum,No,No,No,No,No,No,Yes,N/A,N/A,"Yes, the main reason",,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,3,,3-5 years old,6-8 years old,9-12 years old,,,3,1,A county adjacent to Marion County,0
210,2018-05-26 12:05:21,May.June,More than 90 minutes,Not sure,No,No,Advertising at the museum,No,No,No,No,No,No,No,N/A,N/A,"Yes, the main reason",The big tree,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,,,6-8 years old,9-12 years old,,,2,0,A county adjacent to Marion County,0
211,2018-05-26 12:03:24,May.June,30 to 60 minutes,No,Family/Friends,No,No,No,No,No,No,No,No,No,N/A,N/A,No,Everything,N/A,N/A,N/A,N/A,No,Today (from the onsite ticket line),N/A,"No, I am still not interested in becoming a member.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1,,,,,13-18 years old,,2,0,Another state or country (please specify),Kansas
212,2018-05-26 12:01:59,May.June,30 to 60 minutes,Yes,No,No,No,No,No,No,No,No,Member,Yes,N/A,N/A,"Yes, the main reason",Golfing ,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,0-2 years old,3-5 years old,,,,,1,1,A county adjacent to Marion County,0
213,2018-05-26 12:01:22,May.June,30 to 60 minutes,No,No,No,No,No,No,No,No,No,Member,Partially,N/A,N/A,No,,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,3,,3-5 years old,6-8 years old,,,,3,1,"Marion County, Indiana",0
214,2018-05-26 11:58:28,May.June,More than 90 minutes,Not sure,No,No,Advertising at the museum,No,No,No,No,No,No,Partially,N/A,N/A,No,Treehouse,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,4,0-2 years old,3-5 years old,6-8 years old,,,,3,1,"Indiana, but not in the Indy metro area",0
215,2018-05-26 11:56:06,May.June,More than 90 minutes,Yes,No,No,No,No,No,TV commercial,No,No,No,Partially,N/A,N/A,"Yes, the main reason",All,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,,,,9-12 years old,,,2,0,"Marion County, Indiana",0
216,2018-05-26 11:51:21,May.June,Less than 30 minutes,No,Family/Friends,No,No,No,No,No,No,No,No,Partially,N/A,N/A,"Yes, the main reason",Golf,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,2,0-2 years old,,,,,,1,1,Another state or country (please specify),Il
217,2018-05-26 11:51:40,May.June,60 to 90 minutes,Not sure,No,No,Advertising at the museum,No,No,No,No,No,No,Yes,N/A,N/A,"Yes, the main reason",Soccer,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,,,,9-12 years old,,,2,0,"Marion County, Indiana",0
218,2018-05-26 11:49:01,May.June,60 to 90 minutes,Not sure,No,No,Advertising at the museum,No,No,No,No,No,No,Partially,N/A,N/A,"Yes, the main reason",Basketball,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,,,6-8 years old,9-12 years old,,,2,0,A county adjacent to Marion County,0
219,2018-05-26 11:46:30,May.June,30 to 60 minutes,Not sure,No,No,Advertising at the museum,Our website,No,No,No,No,No,Partially,N/A,N/A,"Yes, the main reason",Basketball,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,0-2 years old,3-5 years old,,,,,1,1,"Marion County, Indiana",0
220,2018-06-14 15:55:44,June,60 to 90 minutes,Yes,No,No,No,No,No,No,No,No,I work here,No,N/A,N/A,"Yes, the main reason",,Yes,Yes,,,No,More than 5 days ago,N/A,I am considering purchasing a museum membership.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,6,0-2 years old,3-5 years old,6-8 years old,9-12 years old,,,3,1,"Marion County, Indiana",0
221,2018-06-14 15:52:13,June,30 to 60 minutes,No,Family/Friends,No,Advertising at the museum,No,No,No,No,No,No,Yes,N/A,N/A,"Yes, the main reason",,No,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,,3-5 years old,6-8 years old,,,,3,1,"Marion County, Indiana",0
222,2018-06-14 15:49:44,June,More than 90 minutes,Yes,No,No,Advertising at the museum,No,No,No,No,No,No,No,N/A,N/A,No,,Yes,I already did!,0,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,0-2 years old,3-5 years old,6-8 years old,,,,3,1,"Marion County, Indiana",0
223,2018-06-14 15:45:06,June,30 to 60 minutes,Yes,Family/Friends,"Social media (Twitter, Facebook, Instagram)",No,No,No,TV commercial,No,No,No,Partially,N/A,N/A,"Yes, the main reason",,Yes,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,,3-5 years old,,,,,1,1,"Marion County, Indiana",0
224,2018-06-14 15:42:24,June,Less than 30 minutes,No,No,No,Advertising at the museum,No,No,No,No,No,No,Yes,N/A,N/A,"Yes, the main reason",,No,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,0-2 years old,3-5 years old,,,,,1,1,"Marion County, Indiana",0
225,2018-06-14 15:42:38,June,30 to 60 minutes,No,Family/Friends,No,No,No,No,No,No,No,No,No,N/A,N/A,No,,No,,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,,,6-8 years old,9-12 years old,,,2,0,"Indiana, but not in the Indy metro area",0
226,2018-06-14 15:37:38,June,60 to 90 minutes,No,No,"Social media (Twitter, Facebook, Instagram)",No,No,No,TV commercial,Billboards around town,No,No,Yes,N/A,N/A,"Yes, the main reason",,No,No,,,I am a former member,Today (from the onsite ticket line),N/A,"No, I am still not interested in becoming a member.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,,,,9-12 years old,,,2,0,"Indiana, but not in the Indy metro area",0
227,2018-06-14 15:37:06,June,60 to 90 minutes,No,No,No,No,No,No,No,Billboards around town,No,No,Partially,N/A,N/A,"Yes, the main reason",,No,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,,3-5 years old,,9-12 years old,,,3,1,"Marion County, Indiana",0
228,2018-06-14 15:33:32,June,30 to 60 minutes,Yes,No,No,No,Our website,No,No,No,No,No,No,N/A,N/A,"Yes, the main reason",,No,No,,,No,3 to 5 days ago,N/A,I am not sure if I will become a museum member.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,5,,,6-8 years old,9-12 years old,,,2,0,"Indiana, but not in the Indy metro area",0
229,2018-06-14 15:31:27,June,30 to 60 minutes,Yes,No,"Social media (Twitter, Facebook, Instagram)",No,No,No,TV commercial,No,No,No,Yes,N/A,N/A,No,,No,No,,,No,Yesterday,N/A,I am not sure if I will become a museum member.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,4,,,,9-12 years old,,,2,0,"Marion County, Indiana",0
230,2018-06-14 15:29:24,June,30 to 60 minutes,No,No,"Social media (Twitter, Facebook, Instagram)",Advertising at the museum,Our website,No,No,No,No,No,Yes,N/A,N/A,"Yes, the main reason",,Yes,I already did!,0,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,4,0-2 years old,3-5 years old,6-8 years old,9-12 years old,,,3,1,"Indiana, but not in the Indy metro area",0
231,2018-06-14 15:25:08,June,60 to 90 minutes,Yes,No,No,No,No,No,No,No,No,Previous visit,Yes,N/A,N/A,"Yes, the main reason",,Yes,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,3,,,6-8 years old,9-12 years old,,,2,0,"Indiana, but not in the Indy metro area",0
232,2018-06-14 15:23:22,June,60 to 90 minutes,Yes,Family/Friends,No,No,No,No,TV commercial,No,No,No,No,N/A,N/A,"Yes, the main reason",,No,Yes,,,I am a former member,Today (from the onsite ticket line),N/A,I am not sure if I will become a museum member.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,,,,,13-18 years old,,2,0,A county adjacent to Marion County,0
233,2018-06-14 15:21:25,June,Less than 30 minutes,,No,No,No,No,No,No,No,No,Just saw it when entering,Yes,N/A,N/A,No,,No,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,,,6-8 years old,9-12 years old,,,2,0,"Marion County, Indiana",0
234,2018-06-14 15:17:24,June,Less than 30 minutes,Not sure,Family/Friends,No,No,No,No,No,No,No,No,No,N/A,N/A,No,,No,No,,,No,3 to 5 days ago,N/A,I am considering purchasing a museum membership.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,0-2 years old,,,,,,1,1,"Marion County, Indiana",0
235,2018-06-13 14:37:41,June,60 to 90 minutes,No,No,No,Advertising at the museum,No,No,No,No,No,No,Partially,N/A,N/A,No,,No,No,,,No,Today (from the onsite ticket line),N/A,I am considering purchasing a museum membership.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,,,6-8 years old,9-12 years old,,,2,0,Another state or country (please specify),Ohio
236,2018-06-13 14:32:19,June,Less than 30 minutes,Yes,No,"Social media (Twitter, Facebook, Instagram)",Advertising at the museum,No,No,No,No,No,No,Partially,N/A,N/A,"Yes, the main reason",,No,No,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,4,,3-5 years old,,9-12 years old,,,3,1,"Marion County, Indiana",0
237,2018-06-13 14:31:44,June,30 to 60 minutes,No,No,No,No,No,No,No,No,No,I am a Museum member,Yes,N/A,N/A,"Yes, the main reason",,Not Sure,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,,,,9-12 years old,13-18 years old,,2,0,A county adjacent to Marion County,0
238,2018-06-13 14:29:26,June,60 to 90 minutes,Yes,No,No,Advertising at the museum,No,No,No,No,No,No,Partially,N/A,N/A,No,,Yes,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,4,0-2 years old,,,9-12 years old,13-18 years old,,3,1,"Marion County, Indiana",0
239,2018-06-13 14:25:18,June,30 to 60 minutes,No,Family/Friends,"Social media (Twitter, Facebook, Instagram)",No,No,No,TV commercial,No,No,No,Yes,N/A,N/A,"Yes, the main reason",,No,Yes,,,No,Today (from the onsite ticket line),N/A,I will/have become a museum member as a result of the Sports Legends Experience.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,,3-5 years old,6-8 years old,,,,3,1,"Marion County, Indiana",0
240,2018-06-13 14:22:38,June,30 to 60 minutes,Yes,No,No,No,No,No,TV commercial,No,No,No,Partially,N/A,N/A,"Yes, the main reason",,Yes,No,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,,,6-8 years old,,,,2,0,"Marion County, Indiana",0
241,2018-06-13 14:22:33,June,30 to 60 minutes,Yes,No,No,Advertising at the museum,No,No,No,No,No,No,No,N/A,N/A,No,,No,No,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,3,,3-5 years old,6-8 years old,,,,3,1,"Indiana, but not in the Indy metro area",0
242,2018-06-13 14:19:27,June,More than 90 minutes,Yes,No,No,No,No,"A story in the media (TV, Digital Article, Radio)",No,No,No,No,No,N/A,N/A,"Yes, the main reason",,Yes,I already did!,0,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,,3-5 years old,6-8 years old,,,,3,1,A county adjacent to Marion County,0
243,2018-06-13 14:19:17,June,30 to 60 minutes,Yes,Family/Friends,No,Advertising at the museum,Our website,"A story in the media (TV, Digital Article, Radio)",No,Billboards around town,No,No,Partially,N/A,N/A,"Yes, the main reason",,No,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,,3-5 years old,6-8 years old,,,,3,1,A county adjacent to Marion County,0
244,2018-06-13 14:16:00,June,30 to 60 minutes,Yes,Family/Friends,"Social media (Twitter, Facebook, Instagram)",Advertising at the museum,No,No,No,No,No,No,No,N/A,N/A,"Yes, the main reason",,Yes,I already did!,0,,No,Today (online),N/A,I am not sure if I will become a museum member.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,6,,3-5 years old,6-8 years old,9-12 years old,,,3,1,A county adjacent to Marion County,0
245,2018-06-13 14:16:04,June,Less than 30 minutes,Not sure,No,No,Advertising at the museum,No,No,No,No,No,No,No,N/A,N/A,"Yes, the main reason",,Yes,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,6,,3-5 years old,6-8 years old,9-12 years old,,,3,1,A county adjacent to Marion County,0
246,2018-06-13 14:11:59,June,30 to 60 minutes,Not sure,Family/Friends,"Social media (Twitter, Facebook, Instagram)",No,No,No,No,No,Online advertisement,No,Partially,N/A,N/A,No,,No,No,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,,3-5 years old,,,,,1,1,A county adjacent to Marion County,0
247,2018-06-13 14:10:52,June,Less than 30 minutes,Not sure,Family/Friends,No,No,No,No,No,No,No,No,No,N/A,N/A,No,,No,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,0-2 years old,3-5 years old,6-8 years old,,,,3,1,Another state or country (please specify),"Bloomington, IL"
248,2018-06-13 14:09:13,June,Less than 30 minutes,Not sure,No,No,Advertising at the museum,Our website,No,No,No,No,No,No,N/A,N/A,No,,No,Yes,,,No,Today (from the onsite ticket line),N/A,I am considering purchasing a museum membership.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,0-2 years old,3-5 years old,,,,,1,1,Another state or country (please specify),Hawaii
249,2018-06-13 14:07:40,June,30 to 60 minutes,Not sure,No,No,No,Our website,No,No,No,No,No,No,N/A,N/A,No,,No,No,,,No,Today (from the onsite ticket line),N/A,"No, I am still not interested in becoming a member.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,,,,,13-18 years old,,2,0,"Indiana, but not in the Indy metro area",0
250,2018-06-13 14:01:11,June,Less than 30 minutes,No,Family/Friends,No,No,No,No,No,No,No,No,No,N/A,N/A,No,,No,Yes,,,No,Today (from the onsite ticket line),N/A,I am not sure if I will become a museum member.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,,,,9-12 years old,,,2,0,"Indiana, but not in the Indy metro area",0
251,2018-06-13 13:58:15,June,30 to 60 minutes,No,No,No,Advertising at the museum,No,No,No,No,No,No,Partially,N/A,N/A,No,,No,No,,,No,Today (from the onsite ticket line),N/A,I am not sure if I will become a museum member.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,4,0-2 years old,3-5 years old,,,,,1,1,A county adjacent to Marion County,0
252,2018-06-13 13:58:05,June,30 to 60 minutes,No,No,No,Advertising at the museum,No,No,No,No,No,No,Yes,N/A,N/A,"Yes, the main reason",,No,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,4,0-2 years old,,,,,,1,1,"Marion County, Indiana",0
253,2018-06-13 13:56:29,June,30 to 60 minutes,No,Family/Friends,No,Advertising at the museum,No,No,No,No,No,No,Yes,N/A,N/A,No,,No,Yes,,,I am a former member,Yesterday,N/A,I am not sure if I will become a museum member.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,,3-5 years old,,,,,1,1,"Marion County, Indiana",0
254,2018-06-13 13:52:24,June,Less than 30 minutes,No,No,No,No,No,No,No,No,Online advertisement,No,No,N/A,N/A,No,,Yes,I already did!,0,,No,Today (from the onsite ticket line),N/A,"No, I am still not interested in becoming a member.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0-2 years old,,,,,,1,1,Another state or country (please specify),Ohio
255,2018-06-13 13:48:35,June,30 to 60 minutes,No,No,No,Advertising at the museum,No,No,No,No,No,No,Yes,N/A,N/A,"Yes, the main reason",,No,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,,,6-8 years old,,13-18 years old,,2,0,A county adjacent to Marion County,0
256,2018-06-16 11:34:36,June,60 to 90 minutes,No,Family/Friends,No,No,No,No,No,No,No,No,No,N/A,N/A,"Yes, the main reason",,Yes,Yes,,,No,More than 5 days ago,N/A,I am considering purchasing a museum membership.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,,,6-8 years old,9-12 years old,,,2,0,"Indiana, but not in the Indy metro area",0
257,2018-06-16 11:33:16,June,30 to 60 minutes,No,Family/Friends,No,No,No,No,No,No,No,No,Partially,N/A,N/A,No,,No,Yes,,,No,3 to 5 days ago,N/A,I am not sure if I will become a museum member.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,,3-5 years old,,9-12 years old,,,3,1,Another state or country (please specify),Ky
258,2018-06-16 11:30:09,June,30 to 60 minutes,Yes,Family/Friends,No,No,No,"A story in the media (TV, Digital Article, Radio)",No,No,No,No,No,N/A,N/A,"Yes, the main reason",,No,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,5,,3-5 years old,,,,,1,1,"Marion County, Indiana",0
259,2018-06-16 11:30:10,June,30 to 60 minutes,No,No,No,Advertising at the museum,Our website,No,No,No,No,No,Yes,N/A,N/A,"Yes, the main reason",,No,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,3,0-2 years old,3-5 years old,6-8 years old,,,,3,1,"Marion County, Indiana",0
260,2018-06-16 11:26:54,June,Less than 30 minutes,No,No,No,No,No,No,No,Billboards around town,No,No,Yes,N/A,N/A,"Yes, the main reason",,No,No,I know I would never use the app.,0,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,0-2 years old,3-5 years old,,,,,1,1,"Indiana, but not in the Indy metro area",0
261,2018-06-16 11:26:20,June,Less than 30 minutes,Not sure,No,No,No,No,No,No,No,No,Didn't know,Yes,N/A,N/A,No,,Not Sure,No,"I come infrequently, so I don’t need it.",0,No,Today (from the onsite ticket line),N/A,"No, I am still not interested in becoming a member.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1,0-2 years old,,,,,,1,1,"Indiana, but not in the Indy metro area",0
262,2018-06-16 11:23:25,June,30 to 60 minutes,No,No,No,Advertising at the museum,No,"A story in the media (TV, Digital Article, Radio)",No,Billboards around town,No,No,No,N/A,N/A,No,,Yes,No,I typically don’t download apps.,0,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,,3-5 years old,6-8 years old,,,,3,1,"Marion County, Indiana",0
263,2018-06-16 11:22:22,June,60 to 90 minutes,No,Family/Friends,"Social media (Twitter, Facebook, Instagram)",Advertising at the museum,No,"A story in the media (TV, Digital Article, Radio)",No,No,No,No,No,N/A,N/A,"Yes, the main reason",,No,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,,,6-8 years old,9-12 years old,,,2,0,A county adjacent to Marion County,0
264,2018-06-16 11:20:04,June,30 to 60 minutes,No,Family/Friends,No,No,No,No,No,No,No,No,No,N/A,N/A,No,,No,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,,3-5 years old,6-8 years old,,,,3,1,A county adjacent to Marion County,0
265,2018-06-16 11:18:42,June,30 to 60 minutes,No,No,No,No,No,No,No,Billboards around town,No,No,Yes,N/A,N/A,No,,No,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,2,,3-5 years old,6-8 years old,,,,3,1,"Indiana, but not in the Indy metro area",0
266,2018-06-16 11:18:19,June,30 to 60 minutes,No,No,"Social media (Twitter, Facebook, Instagram)",No,No,No,No,No,No,No,No,N/A,N/A,"Yes, the main reason",,Yes,Yes,,,No,Today (from the onsite ticket line),N/A,"No, I am still not interested in becoming a member.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,,,6-8 years old,9-12 years old,,,2,0,"Indiana, but not in the Indy metro area",0
267,2018-06-16 11:16:14,June,Less than 30 minutes,Yes,No,No,No,No,No,No,No,No,Member,Yes,N/A,N/A,No,,No,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,,3-5 years old,,,,,1,1,A county adjacent to Marion County,0
268,2018-06-16 11:15:14,June,30 to 60 minutes,No,No,No,No,Our website,No,No,No,No,No,No,N/A,N/A,No,,Yes,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,0-2 years old,3-5 years old,,,,,1,1,Another state or country (please specify),Illinois
269,2018-06-16 11:14:14,June,30 to 60 minutes,Not sure,No,No,No,Our website,No,No,No,No,No,No,N/A,N/A,No,,Yes,Yes,,,No,3 to 5 days ago,N/A,I am not sure if I will become a museum member.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1,,,6-8 years old,,,,2,0,Another state or country (please specify),Kentucky
270,2018-06-16 11:13:16,June,30 to 60 minutes,No,No,No,Advertising at the museum,No,No,No,No,No,No,Yes,N/A,N/A,"Yes, the main reason",,No,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,,,6-8 years old,,,,2,0,"Marion County, Indiana",0
271,2018-06-16 11:08:36,June,Less than 30 minutes,No,Family/Friends,"Social media (Twitter, Facebook, Instagram)",Advertising at the museum,No,No,No,No,No,No,Partially,N/A,N/A,No,,Yes,I already did!,0,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,,3-5 years old,,,,,1,1,"Marion County, Indiana",0
272,2018-06-16 11:05:56,June,30 to 60 minutes,Yes,No,"Social media (Twitter, Facebook, Instagram)",No,Our website,"A story in the media (TV, Digital Article, Radio)",TV commercial,Billboards around town,No,Mail,No,N/A,N/A,No,,Yes,I already did!,0,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,,,6-8 years old,,,,2,0,"Indiana, but not in the Indy metro area",0
273,2018-06-16 11:06:23,June,Less than 30 minutes,No,No,No,Advertising at the museum,No,No,No,No,No,No,No,N/A,N/A,Not Sure,,No,No,"I come infrequently, so I don’t need it.",0,No,Today (from the onsite ticket line),N/A,"No, I am still not interested in becoming a member.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,1,,,,,13-18 years old,,2,0,Another state or country (please specify),Michigan
274,2018-06-16 10:59:54,June,30 to 60 minutes,No,No,No,Advertising at the museum,No,No,No,No,No,No,No,N/A,N/A,"Yes, the main reason",,No,Yes,,,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,,3-5 years old,6-8 years old,,,,3,1,A county adjacent to Marion County,0
275,2018-06-16 10:59:16,June,30 to 60 minutes,No,No,No,Advertising at the museum,Our website,No,No,No,Online advertisement,No,Yes,N/A,N/A,No,,Yes,No,I know I would never use the app.,0,No,3 to 5 days ago,N/A,I am not sure if I will become a museum member.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,,,,9-12 years old,,,2,0,A county adjacent to Marion County,0
